"node1","node2","p.corr"
"Cre01.g001664","Cre01.g001983",-0.2137
"Cre01.g001501","Cre01.g002200",0.2121
"Cre01.g000900","Cre01.g001750",0.2119
"Cre01.g000150","Cre01.g002227",0.2115
"Cre01.g000250","Cre01.g002300",-0.2113
"Cre01.g000017","Cre01.g000700",0.2092
"Cre01.g001700","Cre01.g002200",-0.2092
"Cre01.g000700","Cre01.g002150",0.2082
"Cre01.g000750","Cre01.g001450",0.2075
"Cre01.g000350","Cre01.g001550",0.2074
"Cre01.g002201","Cre01.g002234",0.2074
"Cre01.g000600","Cre01.g001450",0.2064
"Cre01.g001350","Cre01.g001800",-0.2064
"Cre01.g000017","Cre01.g000950",0.2062
"Cre01.g001350","Cre01.g001664",0.2062
"Cre01.g000250","Cre01.g001983",-0.2058
"Cre01.g000850","Cre01.g001450",-0.2048
"Cre01.g001700","Cre01.g002050",0.2044
"Cre01.g001400","Cre01.g001501",-0.2043
"Cre01.g000050","Cre01.g001678",-0.2039
"Cre01.g001400","Cre01.g001664",0.2033
"Cre01.g000033","Cre01.g002227",-0.203
"Cre01.g000900","Cre01.g000950",0.2025
"Cre01.g001150","Cre01.g002227",0.2025
"Cre01.g001450","Cre01.g002234",-0.2022
"Cre01.g000400","Cre01.g000600",-0.2021
"Cre01.g002100","Cre01.g002201",-0.2006
"Cre01.g000100","Cre01.g002201",0.2004
"Cre01.g000300","Cre01.g002227",0.1998
"Cre01.g002203","Cre01.g002227",-0.1995
"Cre01.g001650","Cre01.g002201",-0.1987
"Cre01.g000450","Cre01.g002234",-0.1984
"Cre01.g000300","Cre01.g002203",-0.198
"Cre01.g001100","Cre01.g002203",0.198
"Cre01.g000400","Cre01.g001300",-0.196
"Cre01.g002250","Cre01.g002300",-0.1958
"Cre01.g000350","Cre01.g001150",-0.1949
"Cre01.g001600","Cre01.g001983",0.1946
"Cre01.g000033","Cre01.g000950",0.1941
"Cre01.g000450","Cre01.g001200",0.194
"Cre01.g001400","Cre01.g001600",-0.193
"Cre01.g001100","Cre01.g001400",0.1917
"Cre01.g000950","Cre01.g002203",0.1917
"Cre01.g000150","Cre01.g002300",-0.1913
"Cre01.g000300","Cre01.g001800",0.1912
"Cre01.g000033","Cre01.g000800",-0.1909
"Cre01.g000100","Cre01.g002150",0.1906
"Cre01.g001250","Cre01.g001400",-0.1905
"Cre01.g000150","Cre01.g000900",-0.1899
"Cre01.g000850","Cre01.g002050",0.1896
"Cre01.g000017","Cre01.g001650",-0.1893
"Cre01.g000150","Cre01.g000650",-0.1883
"Cre01.g001678","Cre01.g002100",-0.1879
"Cre01.g000650","Cre01.g001600",-0.1874
"Cre01.g001664","Cre01.g001950",-0.1873
"Cre01.g000033","Cre01.g000100",0.1867
"Cre01.g000200","Cre01.g000700",-0.1866
"Cre01.g001657","Cre01.g002050",0.1864
"Cre01.g001600","Cre01.g002201",-0.1863
"Cre01.g001501","Cre01.g002234",-0.1856
"Cre01.g000400","Cre01.g002227",0.1852
"Cre01.g000017","Cre01.g000250",0.1843
"Cre01.g001983","Cre01.g002203",-0.1843
"Cre01.g000650","Cre01.g001657",-0.1837
"Cre01.g000450","Cre01.g001501",0.1833
"Cre01.g000050","Cre01.g002200",0.1833
"Cre01.g000250","Cre01.g001750",0.1832
"Cre01.g002050","Cre01.g002100",-0.1825
"Cre01.g000800","Cre01.g002227",-0.1823
"Cre01.g001200","Cre01.g002150",-0.1811
"Cre01.g000250","Cre01.g001450",0.1795
"Cre01.g001150","Cre01.g001250",0.1794
"Cre01.g000450","Cre01.g000950",0.1789
"Cre01.g000650","Cre01.g001100",0.1789
"Cre01.g001400","Cre01.g001983",0.1783
"Cre01.g001150","Cre01.g001300",0.1774
"Cre01.g000250","Cre01.g002201",-0.1772
