fromNode	toNode	weight	direction	fromAltName	toAltName
Cre04.g221200	Cre11.g467711	0.284472231062687	undirected	CGL109	Cre11.g467711
Cre15.g635650	Cre03.g149500	0.428437803793754	undirected	Cre15.g635650	Cre03.g149500
Cre06.g286950	Cre02.g094700	0.408905008995029	undirected	Cre06.g286950	Cre02.g094700
Cre16.g683550	Cre02.g101900	0.306977715591998	undirected	Cre16.g683550	EXN6
Cre10.g456500	Cre14.g634365	0.332193748892983	undirected	Cre10.g456500	Cre14.g634365
Cre14.g633750	Cre03.g152950	0.322111928394836	undirected	IPB2	PUS12
Cre06.g302650	Cre03.g171179	0.248378762948072	undirected	RRM5	Cre03.g171179
Cre06.g273413	Cre08.g360450	0.338037676273973	undirected	Cre06.g273413	Cre08.g360450
Cre06.g302650	Cre13.g582800	0.292403562633991	undirected	RRM5	Cre13.g582800
Cre03.g199900	Cre09.g393800	0.406338887778075	undirected	EIF4E	Cre09.g393800
Cre06.g260450	Cre08.g361800	0.362834273098798	undirected	LCI20	RPC31
Cre14.g634365	Cre02.g102950	0.325501978102801	undirected	Cre14.g634365	Cre02.g102950
Cre08.g384390	Cre12.g493000	0.265229608148437	undirected	POLQ2	Cre12.g493000
Cre11.g467781	Cre12.g508050	0.334670895372088	undirected	FAP151	Cre12.g508050
Cre16.g686600	Cre10.g436650	0.267906571084017	undirected	Cre16.g686600	HEL45
Cre16.g683793	Cre02.g143350	0.494799250844831	undirected	Cre16.g683793	PDE6
Cre07.g348800	Cre01.g030600	0.375002578857428	undirected	TAB1	MAPKKK4
Cre03.g165250	Cre04.g225000	0.368623755845346	undirected	Cre03.g165250	Cre04.g225000
Cre03.g145727	Cre07.g312750	0.231247635440008	undirected	Cre03.g145727	CSL4
Cre17.g727700	Cre06.g271850	0.206481213661011	undirected	HEL65	Cre06.g271850
Cre16.g676421	Cre07.g356600	0.259382812887385	undirected	Cre16.g676421	Cre07.g356600
Cre04.g218950	Cre01.g018950	0.224346806668807	undirected	Cre04.g218950	DHS1
Cre16.g649600	Cre06.g278182	0.485783820531664	undirected	PUF4	Cre06.g278182
Cre07.g326650	Cre07.g330350	0.49676854778928	undirected	Cre07.g326650	OPR115
Cre16.g680944	Cre01.g046237	0.217781107641533	undirected	Cre16.g680944	Cre01.g046237
Cre09.g391578	Cre07.g353500	0.339898863014003	undirected	Cre09.g391578	CGLD5A
Cre12.g558000	Cre02.g101900	0.403115830091301	undirected	MRPS6	EXN6
Cre09.g398030	Cre01.g007100	0.301062804345569	undirected	Cre09.g398030	Cre01.g007100
Cre03.g201100	Cre07.g340550	0.461763575568487	undirected	FHL1	Cre07.g340550
Cre01.g015600	Cre13.g583350	0.385609486789648	undirected	Cre01.g015600	Cre13.g583350
Cre08.g385800	Cre07.g317150	0.236660495607965	undirected	Cre08.g385800	MKP7
Cre02.g107100	Cre11.g467680	0.416770990445609	undirected	Cre02.g107100	Cre11.g467680
Cre02.g078100	Cre12.g549700	0.4564573628122	undirected	EIF5B1	Cre12.g549700
Cre12.g492950	Cre14.g634322	0.423580917449237	undirected	RIR1	Cre14.g634322
Cre10.g418950	Cre02.g107100	0.377189974882461	undirected	KIN10-2	Cre02.g107100
Cre07.g330350	Cre16.g679450	0.492152399946437	undirected	OPR115	Cre16.g679450
Cre12.g528950	Cre02.g088551	0.442157376091262	undirected	PUF1	Cre02.g088551
Cre17.g709550	Cre03.g175200	0.366119041584599	undirected	Cre17.g709550	TOC75
Cre04.g222800	Cre13.g569400	0.23066433114222	undirected	LCID	TAUD1
Cre01.g020950	Cre13.g563150	0.464259006980935	undirected	Cre01.g020950	CGLD8
Cre08.g364501	Cre03.g171179	0.38298724997418	undirected	Cre08.g364501	Cre03.g171179
Cre17.g721450	Cre03.g159950	0.423902094400766	undirected	NSS4	Cre03.g159950
Cre16.g685050	Cre01.g038151	0.272121092220136	undirected	LCI15	Cre01.g038151
Cre12.g532314	Cre06.g287700	0.279808530193178	undirected	Cre12.g532314	Cre06.g287700
Cre10.g451950	Cre03.g194900	0.35611552979588	undirected	AAT1	CYA4
Cre12.g539100	Cre14.g627850	0.447751616125883	undirected	HEL57	Cre14.g627850
Cre01.g031750	Cre10.g450879	0.529401206804284	undirected	Cre01.g031750	Cre10.g450879
Cre10.g459500	Cre16.g662902	0.359789652636492	undirected	NGB1	Cre16.g662902
Cre08.g378850	Cre04.g218300	0.478366738225563	undirected	RPPK1	Cre04.g218300
Cre08.g368500	Cre06.g252450	0.396640191954402	undirected	Cre08.g368500	Cre06.g252450
Cre12.g498100	Cre16.g673100	0.4868293435321	undirected	EIF3E	Cre16.g673100
Cre06.g283500	Cre02.g117850	0.385274203347378	undirected	Cre06.g283500	Cre02.g117850
Cre03.g172950	Cre02.g082100	0.401729034487713	undirected	PUS21	Cre02.g082100
Cre14.g612200	Cre03.g172700	0.38879770714033	undirected	CYG16	Cre03.g172700
Cre07.g339750	Cre10.g418950	0.270382346109586	undirected	HEM2	KIN10-2
Cre12.g497750	Cre10.g454650	0.457597867311718	undirected	Cre12.g497750	RPC5
Cre13.g564250	Cre17.g697334	0.380930618754695	undirected	EIF3A	Cre17.g697334
Cre13.g606850	Cre01.g024750	0.447223618787404	undirected	Cre13.g606850	Cre01.g024750
Cre07.g316450	Cre16.g679450	0.383551220724148	undirected	Cre07.g316450	Cre16.g679450
Cre15.g637050	Cre10.g440300	0.38946019516792	undirected	FAP274	SMC5A
Cre10.g458650	Cre16.g683000	0.380017657473986	undirected	Cre10.g458650	Cre16.g683000
Cre03.g146267	Cre13.g580900	0.455830526189058	undirected	Cre03.g146267	Cre13.g580900
Cre14.g633750	Cre17.g720450	0.444457091260322	undirected	IPB2	Cre17.g720450
Cre16.g692250	Cre12.g555001	0.301389705033831	undirected	Cre16.g692250	Cre12.g555001
Cre09.g410450	Cre03.g156150	0.391722242326032	undirected	ROC15	HEL13
Cre05.g241638	Cre14.g608200	0.235472332697772	undirected	Cre05.g241638	Cre14.g608200
Cre06.g284050	Cre08.g360001	0.210845389186006	undirected	TAF1	Cre08.g360001
Cre02.g117850	Cre17.g723300	0.439640469051703	undirected	Cre02.g117850	Cre17.g723300
Cre11.g467781	Cre02.g084600	0.466562514497244	undirected	FAP151	Cre02.g084600
Cre12.g502600	Cre05.g234657	0.366219257362339	undirected	SLT1	Cre05.g234657
Cre09.g389450	Cre02.g117900	0.177833172970784	undirected	Cre09.g389450	HEL11
Cre12.g507800	Cre17.g731300	0.193573862898325	undirected	Cre12.g507800	Cre17.g731300
Cre06.g275350	Cre12.g508200	0.402585349042927	undirected	ROC40	Cre12.g508200
Cre10.g449200	Cre06.g261700	0.342376796487685	undirected	ANK5	Cre06.g261700
Cre06.g309000	Cre07.g318300	0.25987548697055	undirected	LCIA	Cre07.g318300
Cre01.g020950	Cre10.g420900	0.539559811726974	undirected	Cre01.g020950	HEL44
Cre04.g217913	Cre10.g454650	0.401417472216975	undirected	MCP19	RPC5
Cre13.g575900	Cre09.g403219	0.452128898575485	undirected	CGL117	RPB5
Cre16.g680588	Cre10.g442250	0.429935300538266	undirected	Cre16.g680588	Cre10.g442250
Cre12.g496950	Cre07.g354850	0.298171265062028	undirected	Cre12.g496950	Cre07.g354850
Cre12.g543100	Cre04.g227550	0.319416754941636	undirected	Cre12.g543100	Cre04.g227550
Cre12.g511400	Cre13.g583350	0.424359316522159	undirected	PPR4	Cre13.g583350
