Gene_id,Version,Gene_names,Uniprot_id,TF
Cre09.g410050,C. reinhardtii v5.6,Cre09.g410050,A0A2K3DFK1,
Cre01.g002300,C. reinhardtii v5.6,CYN19-2,A8JD64,
Cre01.g007950,C. reinhardtii v5.6,CYP55B1,A0A2K3E587,
Cre03.g185550,C. reinhardtii v5.6,SEBP1,A0A2K3DY10,
Cre03.g165100,C. reinhardtii v5.6,PSAI,A8IFG7,
Cre12.g550850,C. reinhardtii v5.6,PSBP1,A0A2K3D661,
Cre02.g075700,C. reinhardtii v5.6,RPL19,A8IA18,
Cre14.g624000,C. reinhardtii v5.6,Cre14.g624000,A0A2K3CY80,
Cre13.g577100,C. reinhardtii v5.6,ACP2,Q6UKY5,
Cre06.g296700,C. reinhardtii v5.6,HYDG1,Q6PSL4,
Cre16.g661638,C. reinhardtii v5.6,Cre16.g661638,A0A2K3CTJ9,
Cre13.g586450,C. reinhardtii v5.6,Cre13.g586450,A8HUK8,
Cre06.g257601,C. reinhardtii v5.6,PRX1,Q9FE86,
Cre16.g687900,C. reinhardtii v5.6,LHCA7,Q84Y02,
Cre05.g238332,C. reinhardtii v5.6,PSAD,Q5NKW4,
Cre17.g724300,C. reinhardtii v5.6,PSAK,A8J6K8,
Cre12.g532550,C. reinhardtii v5.6,RPL13A,A0A2K3D4X3,
Cre12.g486300,C. reinhardtii v5.6,PSAL,A8IL32,
Cre10.g452050,C. reinhardtii v5.6,LHCA4,Q75VZ0,
Cre07.g321750,C. reinhardtii v5.6,Cre07.g321750,A0A2K3DJ36,
Cre14.g626700,C. reinhardtii v5.6,PETF,A8IV40,
Cre09.g404201,C. reinhardtii v5.6,PHC30,A0A2K3DCL5,
Cre17.g701650,C. reinhardtii v5.6,RPL27,A8IQC1,
Cre07.g330250,C. reinhardtii v5.6,PSAH,A8IH77,
Cre01.g039300,C. reinhardtii v5.6,RB47,A0A2K3E7A5,
Cre10.g425900,C. reinhardtii v5.6,LHCA5,Q75VY8,
Cre12.g560950,C. reinhardtii v5.6,PSAG,A0A2K3D5H4,
Cre06.g310950,C. reinhardtii v5.6,Cre06.g310950,A0A2K3DRP2,
Cre06.g281600,C. reinhardtii v5.6,LCI23,A0A2K3DPP2,
Cre11.g482650,C. reinhardtii v5.6,EZY3,A0A2K3D8W0,
Cre02.g097050,C. reinhardtii v5.6,Cre02.g097050,A0A2K3E207,
Cre16.g662702,C. reinhardtii v5.6,Cre16.g662702,A0A2K3CTM9,
Cre06.g308250,C. reinhardtii v5.6,RPS4,A8IMP6,
Cre06.g278135,C. reinhardtii v5.6,RPL21,A0A2K3DNY1,
Cre01.g047750,C. reinhardtii v5.6,RPL18A,A8HN50,
Cre13.g588150,C. reinhardtii v5.6,Cre13.g588150,A0A2K3D0V9,
Cre10.g420350,C. reinhardtii v5.6,PSAE,A8ICV4,
Cre02.g076950,C. reinhardtii v5.6,SUB4,A0A2K3E088,
Cre07.g328800,C. reinhardtii v5.6,NSG13,Q65Z17,
Cre36.g759747,C. reinhardtii v5.6,Cre36.g759747,A0A2K3CMW5,
Cre11.g467770,C. reinhardtii v5.6,PGK1,A8JC04,
Cre06.g272950,C. reinhardtii v5.6,RPS18,A8HVP2,
Cre12.g557900,C. reinhardtii v5.6,CDI1,A0A2K3D5N7,
Cre01.g040000,C. reinhardtii v5.6,RPL26,A8HMG7,
Cre07.g338451,C. reinhardtii v5.6,FBP1,A0A2K3DKE9,
Cre09.g394436,C. reinhardtii v5.6,Cre09.g394436,A8J0B0,
Cre06.g289550,C. reinhardtii v5.6,RPL32,A8J2G4,
Cre08.g360900,C. reinhardtii v5.6,RPS15,A8J493,
Cre07.g355850,C. reinhardtii v5.6,Cre07.g355850,A8JFV9,
Cre16.g685700,C. reinhardtii v5.6,Cre16.g685700,A8ISB6,
Cre11.g479600,C. reinhardtii v5.6,CAX6,A0A2K3D8M1,
